id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker,stock_return,market_return,abnormal_return
100088,The Last of Us,2023-01-15,451.8147,8.581,5700,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,NFLX,0.03371508526483321,-1.5562598500411053,1.5899749353059385
1416,Grey's Anatomy,2005-03-27,281.2538,8.228,10468,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-27,NFLX,4.8057330642226574,0.6071809708866241,4.198552093336033
79744,The Rookie,2018-10-16,228.0813,8.516,2390,Netflix,8,TV Show,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-16,NFLX,-3.963620297537582,-1.4996830425689123,-2.4639372549686698
60735,The Flash,2014-10-07,195.6986,7.773,11262,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-10-07,NFLX,-0.9139788596298808,-1.4970787591660764,0.5830998995361956
1622,Supernatural,2005-09-13,194.6585,8.297,7786,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,NFLX,-0.6975880026615219,0.5450035147764374,-1.2425915174379591
1399,Game of Thrones,2011-04-17,180.8056,8.5,24898,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-04-17,NFLX,4.757216976683931,1.9323574804285228,2.824859496255408
2691,Two and a Half Men,2003-09-22,171.0991,7.45,3373,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-22,NFLX,-10.260353971533274,-1.9113810497423809,-8.348972921790892
65334,Miraculous: Tales of Ladybug & Cat Noir,2015-10-19,165.6643,8.049,4457,Netflix,8,TV Show,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-19,NFLX,-4.2973769708580996,0.9268990524043498,-5.224276023262449
4614,NCIS,2003-09-23,167.9212,7.6,2340,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-23,NFLX,-14.413490311419865,-3.127222024115835,-11.286268287304031
42009,Black Mirror,2011-12-04,158.1741,8.3,5433,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-04,NFLX,2.6240663322078923,0.3126335514307197,2.3114327807771726
