id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker
100088,The Last of Us,2023-01-15,451.8147,8.581,5700,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2023-01-15,NFLX
2734,Law & Order: Special Victims Unit,1999-09-20,388.445,7.939,3919,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-09-20,NFLX
1416,Grey's Anatomy,2005-03-27,281.2538,8.228,10468,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-27,NFLX
79744,The Rookie,2018-10-16,228.0813,8.516,2390,Netflix,8,TV Show,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-10-16,NFLX
60735,The Flash,2014-10-07,195.6986,7.773,11262,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2014-10-07,NFLX
456,The Simpsons,1989-12-17,196.3708,8.0,10163,Netflix,8,TV Show,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989-12-17,NFLX
1622,Supernatural,2005-09-13,194.6585,8.297,7786,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,NFLX
1399,Game of Thrones,2011-04-17,180.8056,8.5,24898,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-04-17,NFLX
2691,Two and a Half Men,2003-09-22,171.0991,7.45,3373,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-22,NFLX
65334,Miraculous: Tales of Ladybug & Cat Noir,2015-10-19,165.6643,8.049,4457,Netflix,8,TV Show,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-19,NFLX
4614,NCIS,2003-09-23,167.9212,7.6,2340,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2003-09-23,NFLX
42009,Black Mirror,2011-12-04,158.1741,8.3,5433,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-12-04,NFLX
57243,Doctor Who,2005-03-26,160.6618,7.5,3103,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-26,NFLX
44953,El Señor de los Cielos,2013-04-15,172.8835,7.92,3299,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-04-15,NFLX
1434,Family Guy,1999-01-31,158.9476,7.4,4544,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1999-01-31,NFLX
127532,Solo Leveling,2024-01-07,146.169,8.6,1096,Netflix,8,TV Show,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-01-07,NFLX
46952,The Blacklist,2013-09-23,148.0615,7.633,3254,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-09-23,NFLX
78191,You,2018-09-09,141.8892,8.044,3360,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-09-09,NFLX
71790,S.W.A.T.,2017-11-02,137.2258,8.099,1463,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-11-02,NFLX
32798,Hawaii Five-0,2010-09-20,138.0731,7.758,1761,Netflix,8,TV Show,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2010-09-20,NFLX
83867,Andor,2022-09-21,134.8544,8.225,1397,Netflix,8,TV Show,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-09-21,NFLX
37606,The Amazing World of Gumball,2011-05-03,134.2968,8.493,1490,Netflix,8,TV Show,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011-05-03,NFLX
1405,Dexter,2006-10-01,126.6542,8.2,4613,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006-10-01,NFLX
1911,Bones,2005-09-13,125.5887,8.221,3253,Netflix,8,TV Show,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-13,NFLX
1400,Seinfeld,1989-07-05,126.252,8.258,2097,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1989-07-05,NFLX
67136,This Is Us,2016-09-20,128.7318,8.239,1492,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-09-20,NFLX
1431,CSI: Crime Scene Investigation,2000-10-06,125.3418,7.636,1280,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000-10-06,NFLX
2190,South Park,1997-08-13,122.4133,8.371,4515,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1997-08-13,NFLX
17610,NCIS: Los Angeles,2009-09-22,121.5331,7.536,1178,Netflix,8,TV Show,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2009-09-22,NFLX
4057,Criminal Minds,2005-09-22,124.948,8.312,3817,Netflix,8,TV Show,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-09-22,NFLX
2316,The Office,2005-03-24,131.7228,8.579,4471,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2005-03-24,NFLX
