id,name,first_air_date,popularity,vote_average,vote_count,provider,provider_id,content-type,Action & Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Kids,Mystery,News,Reality,Sci-Fi & Fantasy,Soap,Talk,War & Politics,Western,Action,Adventure,Fantasy,History,Horror,Music,Romance,Science Fiction,TV Movie,Thriller,War,release_date,ticker
207332,SAKAMOTO DAYS,2025-01-11,39.971,8.2,110,Netflix,8,TV Show,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-11,NFLX
204635,Orb: On the Movements of the Earth,2024-10-05,24.262,7.881,21,Netflix,8,TV Show,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-05,NFLX
276903,The Hot Spot,2025-01-12,22.022,7.7,3,Netflix,8,TV Show,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-12,NFLX
236000,Kinnikuman Perfect Origin Arc,2024-07-14,21.608,4.6,7,Netflix,8,TV Show,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-07-14,NFLX
273051,Babanba Banban Vampire,2025-01-11,13.718,8.3,7,Netflix,8,TV Show,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-11,NFLX
278421,Hell for You,2025-01-14,11.453,8.6,5,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-14,NFLX
278338,Japan's Number One Jerk Salaryman,2025-01-09,8.503,0.0,0,Netflix,8,TV Show,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-09,NFLX
275998,Who Saw the Peacock Dance in the Jungle?,2025-01-24,8.093,8.7,6,Netflix,8,TV Show,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-01-24,NFLX
261510,Live from the Other Side with Tyler Henry,2024-09-17,7.788,6.0,3,Netflix,8,TV Show,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-09-17,NFLX
207347,Blue Box,2024-10-03,7.022,8.5,17,Netflix,8,TV Show,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-03,NFLX
